"Type","country","count"
"Crime TV Shows, Docuseries, TV Mysteries","France","1"
"Crime TV Shows, International TV Shows, Korean TV Shows","South Korea","20"
"Crime TV Shows, International TV Shows, Reality TV","Canada","1"
"Crime TV Shows, International TV Shows, Romantic TV Shows","Mexico","1"
"Crime TV Shows, International TV Shows, Romantic TV Shows","Sweden","1"
"Crime TV Shows, International TV Shows, Romantic TV Shows","Russia","1"
"Crime TV Shows, International TV Shows, Romantic TV Shows","Taiwan","1"
"Crime TV Shows, International TV Shows, Romantic TV Shows","Pakistan","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Spain","15"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Mexico","15"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Colombia","11"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Argentina","5"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","United States, Chile","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Mexico, United States, Spain, Colombia","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Spain, Cuba","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Mexico, United States","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Puerto Rico, United States, Colombia","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Colombia, Mexico, United States","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","United States, Mexico, Colombia","1"
"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Mexico, Spain","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Turkey","2"
"Crime TV Shows, International TV Shows, TV Action & Adventure","France","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","India","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","China","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Taiwan","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Israel","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Russia","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Japan","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Thailand","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","United States","1"
"Crime TV Shows, International TV Shows, TV Action & Adventure","Belgium, Netherlands","1"
"Crime TV Shows, International TV Shows, TV Comedies","India","2"
"Crime TV Shows, International TV Shows, TV Comedies","Israel","1"
"Crime TV Shows, International TV Shows, TV Comedies","Australia","1"
"Crime TV Shows, International TV Shows, TV Comedies","United States","1"
"Crime TV Shows, International TV Shows, TV Comedies","Sweden","1"
"Crime TV Shows, International TV Shows, TV Comedies","Canada, Germany, South Africa","1"
"Crime TV Shows, International TV Shows, TV Comedies","Germany","1"
"Crime TV Shows, International TV Shows, TV Dramas","Turkey","8"
"Crime TV Shows, International TV Shows, TV Dramas","France","7"
"Crime TV Shows, International TV Shows, TV Dramas","Germany","6"
"Crime TV Shows, International TV Shows, TV Dramas","India","5"
"Crime TV Shows, International TV Shows, TV Dramas","Belgium","4"
"Crime TV Shows, International TV Shows, TV Dramas","Russia","4"
"Crime TV Shows, International TV Shows, TV Dramas","Poland","4"
"Crime TV Shows, International TV Shows, TV Dramas","Brazil","4"
"Crime TV Shows, International TV Shows, TV Dramas","Thailand","4"
"Crime TV Shows, International TV Shows, TV Dramas","Singapore","4"
"Crime TV Shows, International TV Shows, TV Dramas","Australia","3"
"Crime TV Shows, International TV Shows, TV Dramas","Taiwan","3"
"Crime TV Shows, International TV Shows, TV Dramas","Japan","3"
"Crime TV Shows, International TV Shows, TV Dramas","South Korea","3"
"Crime TV Shows, International TV Shows, TV Dramas","China","2"
"Crime TV Shows, International TV Shows, TV Dramas","Poland, United States","2"
"Crime TV Shows, International TV Shows, TV Dramas","Canada","2"
"Crime TV Shows, International TV Shows, TV Dramas","Iceland","2"
"Crime TV Shows, International TV Shows, TV Dramas","Lebanon","2"
"Crime TV Shows, International TV Shows, TV Dramas","Italy","2"
"Crime TV Shows, International TV Shows, TV Dramas","Senegal","1"
"Crime TV Shows, International TV Shows, TV Dramas","France, Belgium","1"
"Crime TV Shows, International TV Shows, TV Dramas","India, United States","1"
"Crime TV Shows, International TV Shows, TV Dramas","Norway, Germany, Sweden","1"
"Crime TV Shows, International TV Shows, TV Dramas","Egypt","1"
"Crime TV Shows, International TV Shows, TV Dramas","United States, Ireland","1"
"Crime TV Shows, International TV Shows, TV Dramas","Sweden","1"
"Crime TV Shows, International TV Shows, TV Dramas","Denmark","1"
"Crime TV Shows, International TV Shows, TV Dramas","Ukraine","1"
"Crime TV Shows, International TV Shows, TV Dramas","China, Hong Kong","1"
"Crime TV Shows, International TV Shows, TV Dramas","Italy, Germany","1"
"Crime TV Shows, International TV Shows, TV Dramas","Spain","1"
"Crime TV Shows, International TV Shows, TV Dramas","United Kingdom","1"
"Crime TV Shows, International TV Shows, TV Dramas","South Africa","1"
"Crime TV Shows, International TV Shows, TV Dramas","Canada, United States","1"
"Crime TV Shows, International TV Shows, TV Dramas","Netherlands","1"
"Crime TV Shows, International TV Shows, TV Dramas","Finland, Germany","1"
"Crime TV Shows, International TV Shows, TV Dramas","Finland, France","1"
"Crime TV Shows, International TV Shows, TV Dramas","Hong Kong","1"
"Crime TV Shows, International TV Shows, TV Dramas","Germany, United States","1"
"Crime TV Shows, International TV Shows, TV Dramas","United Kingdom, France","1"
"Crime TV Shows, International TV Shows, TV Dramas","Austria, Germany","1"
"Crime TV Shows, International TV Shows, TV Mysteries","Brazil","1"
"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy","France, Belgium","1"
"Crime TV Shows, Kids' TV, TV Comedies","Canada, France","1"
"Crime TV Shows, Kids' TV, TV Comedies","Canada, United States, France","1"
"Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Mexico, United States","1"
"Crime TV Shows, Romantic TV Shows, TV Dramas","United States","1"
"Crime TV Shows, Romantic TV Shows, TV Dramas","Canada","1"
"Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure","Mexico, United States","1"
"Crime TV Shows, Spanish-Language TV Shows, TV Dramas","Mexico, United States","1"
"Crime TV Shows, TV Action & Adventure","United States","2"
"Crime TV Shows, TV Action & Adventure","Canada, United Kingdom","1"
"Crime TV Shows, TV Action & Adventure, TV Comedies","United States","3"
"Crime TV Shows, TV Action & Adventure, TV Dramas","United States","8"
"Crime TV Shows, TV Action & Adventure, TV Dramas","United States, Colombia, Mexico","1"
"Crime TV Shows, TV Action & Adventure, TV Dramas","United States, Mexico, Spain, Malta","1"
"Crime TV Shows, TV Action & Adventure, TV Dramas","Mexico, United States","1"
"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","United States","1"
"Crime TV Shows, TV Action & Adventure, TV Thrillers","United States","1"
"Crime TV Shows, TV Action & Adventure, TV Thrillers","France, United States","1"
"Crime TV Shows, TV Comedies","Australia","1"
"Crime TV Shows, TV Comedies, Teen TV Shows","United States","1"
"Crime TV Shows, TV Comedies, TV Dramas","United States","7"
"Crime TV Shows, TV Comedies, TV Dramas","Canada","1"
"Crime TV Shows, TV Comedies, TV Dramas","Norway, United States","1"
"Crime TV Shows, TV Dramas","United States","12"
"Crime TV Shows, TV Dramas","Canada","2"
"Crime TV Shows, TV Dramas","Australia","1"
"Crime TV Shows, TV Dramas, TV Horror","United States","1"
"Crime TV Shows, TV Dramas, TV Mysteries","United States","13"
"Crime TV Shows, TV Dramas, TV Mysteries","United States, Canada","1"
"Crime TV Shows, TV Dramas, TV Mysteries","Australia, United States","1"
"Crime TV Shows, TV Dramas, TV Mysteries","United Kingdom","1"
"Crime TV Shows, TV Dramas, TV Thrillers","United States","7"
"Crime TV Shows, TV Horror, TV Mysteries","United States","1"
"Cult Movies, Documentaries, LGBTQ Movies","United States","1"
"Cult Movies, Dramas, International Movies","India","1"
"Cult Movies, Dramas, Thrillers","United States","1"
"Cult Movies, Dramas, Thrillers","Australia","1"
"Cult Movies, Horror Movies","United States","3"
"Cult Movies, Horror Movies","United States, United Kingdom","1"
"Cult Movies, Horror Movies, Independent Movies","United States","2"
"Cult Movies, Horror Movies, Thrillers","United States","1"
"Cult Movies, Independent Movies, Thrillers","Denmark, France, United States, Sweden","1"
"Documentaries","United States","232"
"Documentaries","United Kingdom","38"
"Documentaries","Canada","7"
"Documentaries","United States, United Kingdom","4"
"Documentaries","Canada, United States","3"
"Documentaries","Sweden, United States","2"
"Documentaries","Poland, United States","1"
"Documentaries","United States, Canada","1"
"Documentaries","United States, United Kingdom, Germany","1"
"Documentaries","Ireland, United Kingdom","1"
"Documentaries","United States,","1"
"Documentaries","United Kingdom, United States","1"
"Documentaries","Australia, United States","1"
"Documentaries","New Zealand","1"
"Documentaries","Germany, United States, Sweden","1"
"Documentaries","United States, Nicaragua","1"
"Documentaries","United States, Australia, China","1"
"Documentaries","United States, Denmark","1"
"Documentaries","United Kingdom, Hong Kong","1"
"Documentaries","France, New Zealand","1"
"Documentaries","United States, Senegal","1"
"Documentaries","United States, United Arab Emirates","1"
"Documentaries","Canada, United States, United Kingdom","1"
"Documentaries","United States, Australia","1"
"Documentaries","United States, Venezuela","1"
"Documentaries","United States, Uruguay","1"
"Documentaries","United States, Australia, South Africa, United Kingdom","1"
"Documentaries","United Kingdom, Germany, Canada","1"
"Documentaries","Netherlands, United States","1"
"Documentaries","Denmark","1"
"Documentaries","United States, Brazil, India, Uganda, China","1"
"Documentaries","United States, Bermuda, Ecuador","1"
"Documentaries","Mexico, United States","1"
"Documentaries","Switzerland, France, Belgium, United States","1"
"Documentaries","United States, Botswana","1"
"Documentaries","China, Germany, India, United States","1"
"Documentaries","Canada, India, Thailand, United States, United Arab Emirates","1"
"Documentaries","Austria","1"
"Documentaries","Denmark, Sweden, Israel, United States","1"
"Documentaries","Denmark, United States","1"
"Documentaries","United States, Mexico","1"
"Documentaries","Kenya, United States","1"
"Documentaries, Dramas, International Movies","United Kingdom","2"
"Documentaries, Faith & Spirituality","United States","4"
"Documentaries, Faith & Spirituality","Brazil, India, China, United States","1"
"Documentaries, Faith & Spirituality","Canada","1"
"Documentaries, Faith & Spirituality","Ireland, United States, France","1"
"Documentaries, Faith & Spirituality, International Movies","Switzerland, Vatican City, Italy, Germany, France","1"
"Documentaries, Faith & Spirituality, International Movies","Indonesia","1"
"Documentaries, Faith & Spirituality, International Movies","Spain","1"
"Documentaries, Faith & Spirituality, Music & Musicals","United States","1"
"Documentaries, Horror Movies","Italy, United States","1"
"Documentaries, Horror Movies","United States","1"
"Documentaries, International Movies","United Kingdom","18"
"Documentaries, International Movies","India","13"
"Documentaries, International Movies","Spain","10"
"Documentaries, International Movies","France","9"
"Documentaries, International Movies","United States","8"
"Documentaries, International Movies","Mexico","7"
"Documentaries, International Movies","Brazil","5"
"Documentaries, International Movies","Canada","5"
"Documentaries, International Movies","Italy","4"
"Documentaries, International Movies","Germany","4"
"Documentaries, International Movies","United States, Mexico","4"
"Documentaries, International Movies","Australia","3"
"Documentaries, International Movies","Lebanon, Canada, France","2"
"Documentaries, International Movies","Italy, France","2"
"Documentaries, International Movies","Japan, United States","2"
"Documentaries, International Movies","Singapore","1"
"Documentaries, International Movies","Colombia, Peru, United Kingdom","1"
"Documentaries, International Movies","Thailand, United States","1"
"Documentaries, International Movies","Venezuela","1"
"Documentaries, International Movies","Canada, United States","1"
"Documentaries, International Movies","United Kingdom, Russia","1"
"Documentaries, International Movies","Mexico, United States","1"
"Documentaries, International Movies","Argentina, Italy","1"
"Documentaries, International Movies","Georgia","1"
"Documentaries, International Movies","Israel","1"
"Documentaries, International Movies","United Arab Emirates, United States, United Kingdom","1"
"Documentaries, International Movies","Uruguay","1"
"Documentaries, International Movies","Uruguay, Guatemala","1"
"Documentaries, International Movies","Spain, France, Canada, United States","1"
"Documentaries, International Movies","South Korea","1"
"Documentaries, International Movies","United States, United Kingdom","1"
"Documentaries, International Movies","Germany, Sri Lanka","1"
"Documentaries, International Movies","Nigeria","1"
"Documentaries, International Movies","Germany, Belgium","1"
"Documentaries, International Movies","Peru","1"
"Documentaries, International Movies","Brazil, United States","1"
"Documentaries, International Movies","India, United States","1"
"Documentaries, International Movies","Netherlands, Denmark, South Africa","1"
"Documentaries, International Movies","Germany, Italy","1"
"Documentaries, International Movies","Belgium, Ireland, Netherlands, Germany, Afghanistan","1"
"Documentaries, International Movies","Canada, France, Italy, Morocco, United States","1"
"Documentaries, International Movies","Argentina","1"
"Documentaries, International Movies","United Kingdom, India, United States","1"
"Documentaries, International Movies","China, South Korea, United States","1"
"Documentaries, International Movies","Norway","1"
"Documentaries, International Movies","France, Switzerland, Spain, United States, United Arab Emirates","1"
"Documentaries, International Movies","Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay","1"
"Documentaries, International Movies","United Kingdom, Namibia, South Africa, Zimbabwe, United States","1"
"Documentaries, International Movies","Denmark, Indonesia, Finland, Norway, United Kingdom, Israel, France, United States, Germany, Netherlands","1"
"Documentaries, International Movies","Ireland, United Kingdom, Italy, United States","1"
"Documentaries, International Movies","United States, Italy","1"
"Documentaries, International Movies","United States, Japan","1"
"Documentaries, International Movies","Lebanon","1"
"Documentaries, International Movies","Canada, United Kingdom, Netherlands","1"
"Documentaries, International Movies","United Kingdom, Egypt, United States","1"
"Documentaries, International Movies","Netherlands, Denmark, France, Germany","1"
"Documentaries, International Movies","United Kingdom, Ukraine, United States","1"
"Documentaries, International Movies","Canada, United Kingdom","1"
"Documentaries, International Movies","West Germany","1"
"Documentaries, International Movies","France, Netherlands, South Africa, Finland","1"
"Documentaries, International Movies","New Zealand","1"
"Documentaries, International Movies","United Kingdom, Belgium, Sweden","1"
"Documentaries, International Movies","Denmark, Zimbabwe","1"
"Documentaries, International Movies","Peru, United States, United Kingdom","1"
"Documentaries, International Movies","Australia, Iraq","1"
"Documentaries, International Movies","United States, Spain","1"
"Documentaries, International Movies","Argentina, Uruguay, Serbia","1"
"Documentaries, International Movies","Lebanon, United Arab Emirates, France, Switzerland, Germany","1"
"Documentaries, International Movies","Venezuela, Colombia","1"
"Documentaries, International Movies","Italy, United States, Argentina","1"
"Documentaries, International Movies","Colombia","1"
"Documentaries, International Movies","United Kingdom, Italy, Israel, Peru, United States","1"
"Documentaries, International Movies","Israel, Sweden, Germany, Netherlands","1"
"Documentaries, International Movies","South Africa","1"
"Documentaries, International Movies","Denmark, Spain","1"
"Documentaries, International Movies","Austria, Iraq, United States","1"
"Documentaries, International Movies","United Kingdom,","1"
"Documentaries, International Movies","Italy, India","1"
"Documentaries, International Movies, LGBTQ Movies","Canada, United States","1"
"Documentaries, International Movies, LGBTQ Movies","Brazil","1"
"Documentaries, International Movies, LGBTQ Movies","Germany","1"
"Documentaries, International Movies, LGBTQ Movies","India","1"
"Documentaries, International Movies, LGBTQ Movies","Netherlands, Belgium","1"
"Documentaries, International Movies, LGBTQ Movies","United Kingdom","1"
"Documentaries, International Movies, Music & Musicals","France","4"
"Documentaries, International Movies, Music & Musicals","United Kingdom","4"
"Documentaries, International Movies, Music & Musicals","Spain","3"
"Documentaries, International Movies, Music & Musicals","Thailand","2"
"Documentaries, International Movies, Music & Musicals","Mexico","2"
"Documentaries, International Movies, Music & Musicals","India","2"
"Documentaries, International Movies, Music & Musicals","Belgium","1"
"Documentaries, International Movies, Music & Musicals","Italy","1"
"Documentaries, International Movies, Music & Musicals","Uruguay","1"
"Documentaries, International Movies, Music & Musicals","Sweden, United Kingdom, Finland","1"
"Documentaries, International Movies, Music & Musicals","United Kingdom, Canada, Japan","1"
"Documentaries, International Movies, Music & Musicals","Brazil","1"
"Documentaries, International Movies, Music & Musicals","South Africa, United States","1"
"Documentaries, International Movies, Music & Musicals","Australia","1"
"Documentaries, International Movies, Music & Musicals","Vietnam","1"
"Documentaries, International Movies, Music & Musicals","Sweden, Netherlands","1"
"Documentaries, International Movies, Music & Musicals","Canada","1"
"Documentaries, International Movies, Music & Musicals","United States","1"
"Documentaries, International Movies, Sports Movies","United Kingdom","6"
"Documentaries, International Movies, Sports Movies","France","4"
"Documentaries, International Movies, Sports Movies","Argentina","4"
"Documentaries, International Movies, Sports Movies","Spain","2"
"Documentaries, International Movies, Sports Movies","Brazil","2"
"Documentaries, International Movies, Sports Movies","India","2"
"Documentaries, International Movies, Sports Movies","Czech Republic, France","1"
"Documentaries, International Movies, Sports Movies","United Arab Emirates","1"
"Documentaries, International Movies, Sports Movies","Germany","1"
"Documentaries, International Movies, Sports Movies","Australia, United Kingdom, United States, New Zealand, Italy, France","1"
"Documentaries, International Movies, Sports Movies","United Kingdom, Israel, Russia","1"
"Documentaries, International Movies, Sports Movies","United States","1"
"Documentaries, International Movies, Sports Movies","United States, South Africa","1"
"Documentaries, International Movies, Sports Movies","Canada, Ireland, United States","1"
"Documentaries, International Movies, Sports Movies","Mexico","1"
"Documentaries, International Movies, Sports Movies","Canada","1"
"Documentaries, International Movies, Sports Movies","United States, India","1"
"Documentaries, International Movies, Sports Movies","Uruguay","1"
"Documentaries, International Movies, Sports Movies","United Kingdom, France, United States","1"
"Documentaries, International Movies, Sports Movies","Thailand","1"
"Documentaries, LGBTQ Movies","United States","17"
"Documentaries, LGBTQ Movies","Canada","2"
"Documentaries, LGBTQ Movies","Greece, United States","1"
"Documentaries, LGBTQ Movies, Music & Musicals","United States","2"
"Documentaries, Music & Musicals","United States","53"
"Documentaries, Music & Musicals","United Kingdom","4"
"Documentaries, Music & Musicals","Canada","2"
"Documentaries, Music & Musicals","United Kingdom, United States","2"
"Documentaries, Music & Musicals","United States, Canada","1"
"Documentaries, Music & Musicals","Sweden, United States","1"
"Documentaries, Music & Musicals","United States, United Kingdom","1"
"Documentaries, Music & Musicals","United Kingdom, United States, Japan","1"
"Documentaries, Music & Musicals","United States, Argentina","1"
"Documentaries, Music & Musicals","United Kingdom, Canada, United States","1"
"Documentaries, Sports Movies","United States","36"
"Documentaries, Sports Movies","United Kingdom","5"
"Documentaries, Sports Movies","United States, France","2"
"Documentaries, Sports Movies","New Zealand","2"
"Documentaries, Sports Movies","Canada, United States","1"
"Documentaries, Sports Movies","Canada","1"
"Documentaries, Sports Movies","United States, Australia, Samoa, United Kingdom","1"
"Documentaries, Sports Movies","United States, Canada, Japan, Panama","1"
"Documentaries, Sports Movies","Ireland","1"
"Documentaries, Sports Movies","United States, China","1"
"Documentaries, Sports Movies","United States, Taiwan","1"
"Documentaries, Sports Movies","Austria, United States","1"
"Documentaries, Stand-Up Comedy","United States","2"
"Docuseries","United States","59"
"Docuseries","Canada","3"
"Docuseries","United Kingdom","2"
"Docuseries","Czech Republic, United States","1"
"Docuseries","Canada, United States","1"
"Docuseries, International TV Shows","India","6"
"Docuseries, International TV Shows","Brazil","2"
"Docuseries, International TV Shows","United States","2"
"Docuseries, International TV Shows","Japan","1"
"Docuseries, International TV Shows","France, Germany","1"
"Docuseries, International TV Shows","France","1"
"Docuseries, International TV Shows","Mexico","1"
"Docuseries, International TV Shows","Thailand","1"
"Docuseries, International TV Shows","Israel","1"
"Docuseries, International TV Shows","Canada","1"
"Docuseries, International TV Shows","China","1"
"Docuseries, International TV Shows","Poland","1"
"Docuseries, International TV Shows","New Zealand","1"
"Docuseries, International TV Shows, Reality TV","Australia","2"
"Docuseries, International TV Shows, Reality TV","United States","2"
"Docuseries, International TV Shows, Reality TV","Brazil","1"
"Docuseries, International TV Shows, Science & Nature TV","Australia","5"
"Docuseries, International TV Shows, Science & Nature TV","Brazil","2"
"Docuseries, International TV Shows, Science & Nature TV","Uruguay, Germany","1"
"Docuseries, International TV Shows, Science & Nature TV","United States","1"
"Docuseries, International TV Shows, Science & Nature TV","Germany, France, Russia","1"
"Docuseries, International TV Shows, Science & Nature TV","Norway","1"
"Docuseries, International TV Shows, Science & Nature TV","United Kingdom","1"
"Docuseries, International TV Shows, Science & Nature TV","Australia, United States","1"
"Docuseries, International TV Shows, Spanish-Language TV Shows","United States","1"
"Docuseries, Reality TV","United States","14"
"Docuseries, Reality TV, Science & Nature TV","United States","3"
"Docuseries, Reality TV, Science & Nature TV","Canada","1"
"Docuseries, Reality TV, Teen TV Shows","United States","1"
"Docuseries, Science & Nature TV","United States","25"
"Docuseries, Science & Nature TV","United Kingdom","3"
"Docuseries, Science & Nature TV","Canada","2"
"Docuseries, Science & Nature TV","United States, United Kingdom","1"
"Docuseries, Science & Nature TV","United Kingdom, United States","1"
"Docuseries, Science & Nature TV, TV Action & Adventure","United States","1"
"Docuseries, Science & Nature TV, TV Comedies","United States","1"
"Docuseries, Science & Nature TV, TV Dramas","United States","1"
"Docuseries, Spanish-Language TV Shows","Argentina, United States, Mexico","1"
"Docuseries, Stand-Up Comedy & Talk Shows","United States","2"
"Docuseries, TV Comedies","United States","2"
"Docuseries, TV Dramas","United States","2"
"Dramas","United States","78"
"Dramas","United Kingdom","4"
"Dramas","United Kingdom, United States","3"
"Dramas","Canada","2"
"Dramas","Canada, United States","2"
"Dramas","New Zealand","2"
"Dramas","United States, India","2"
"Dramas","United Kingdom, Italy","1"
"Dramas","United States, Sweden","1"
"Dramas","China, Canada, United States","1"
"Dramas","Cambodia, United States","1"
"Dramas","India","1"
"Dramas","United Kingdom, Hungary, Australia","1"
"Dramas","United Kingdom, Germany, United Arab Emirates, New Zealand","1"
"Dramas","United States, Italy","1"
"Dramas","Canada, Hungary, United States","1"
"Dramas","Somalia, Kenya, Sudan, South Africa, United States","1"
"Dramas","Australia","1"
"Dramas","United Kingdom, Canada","1"
"Dramas","United States, Canada","1"
"Dramas","United Kingdom, France, Germany","1"
"Dramas","United States, United Kingdom, India","1"
"Dramas","United Kingdom, India, Sweden","1"
"Dramas","United States, Greece","1"
"Dramas","Spain, United States","1"
"Dramas","France, Belgium, China, United States","1"
"Dramas","Germany, United States","1"
"Dramas","Spain, Thailand, United States","1"
"Dramas","United States, France, United Kingdom, Japan","1"
"Dramas","United States, Morocco","1"
"Dramas","Italy","1"
"Dramas, Faith & Spirituality","United States","12"
"Dramas, Faith & Spirituality","United Kingdom, United States, Morocco","1"
"Dramas, Faith & Spirituality","United Kingdom, United States","1"
"Dramas, Faith & Spirituality","United States, United Kingdom, Morocco","1"
"Dramas, Faith & Spirituality, Independent Movies","United States","1"
"Dramas, Faith & Spirituality, International Movies","Indonesia","3"
"Dramas, Faith & Spirituality, International Movies","Brazil","3"
"Dramas, Faith & Spirituality, International Movies","India","3"
"Dramas, Faith & Spirituality, Romantic Movies","United States","1"
"Dramas, Faith & Spirituality, Sports Movies","United States","1"
"Dramas, Horror Movies, Music & Musicals","United States, United Kingdom","1"
"Dramas, Horror Movies, Sci-Fi & Fantasy","United States, Canada","1"
"Dramas, Independent Movies","United States","73"
"Dramas, Independent Movies","United Kingdom, United States","3"
"Dramas, Independent Movies","United Kingdom","2"
"Dramas, Independent Movies","United States, Greece, United Kingdom","1"
"Dramas, Independent Movies","United States, Greece, Brazil","1"
"Dramas, Independent Movies","Canada, Norway","1"
"Dramas, Independent Movies","France, United States, Mexico","1"
"Dramas, Independent Movies","Canada, Spain","1"
"Dramas, Independent Movies","Canada","1"
"Dramas, Independent Movies","United States, Israel, United Kingdom, Canada","1"
"Dramas, Independent Movies","Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong","1"
"Dramas, Independent Movies","United States, Germany","1"
"Dramas, Independent Movies","United Kingdom, France, Belgium","1"
"Dramas, Independent Movies","Canada, Belgium","1"
"Dramas, Independent Movies","United States, United Kingdom, France, Germany, Japan","1"
"Dramas, Independent Movies","Ireland, Canada, United Kingdom, United States","1"
"Dramas, Independent Movies","United States, Nigeria","1"
"Dramas, Independent Movies","United States, France","1"
"Dramas, Independent Movies","United Kingdom, Denmark, Canada, Croatia","1"
"Dramas, Independent Movies, International Movies","India","97"
"Dramas, Independent Movies, International Movies","Mexico","7"
"Dramas, Independent Movies, International Movies","France","7"
"Dramas, Independent Movies, International Movies","Spain","6"
"Dramas, Independent Movies, International Movies","Germany","5"
"Dramas, Independent Movies, International Movies","United Kingdom","4"
"Dramas, Independent Movies, International Movies","India, France","3"
"Dramas, Independent Movies, International Movies","Italy","2"
"Dramas, Independent Movies, International Movies","Philippines","2"
"Dramas, Independent Movies, International Movies","Argentina","2"
"Dramas, Independent Movies, International Movies","Mexico, United States","2"
"Dramas, Independent Movies, International Movies","Brazil, France","2"
"Dramas, Independent Movies, International Movies","Hong Kong","2"
"Dramas, Independent Movies, International Movies","Taiwan","1"
"Dramas, Independent Movies, International Movies","Colombia","1"
"Dramas, Independent Movies, International Movies","India, Germany, Austria","1"
"Dramas, Independent Movies, International Movies","India, Japan","1"
"Dramas, Independent Movies, International Movies","New Zealand","1"
"Dramas, Independent Movies, International Movies","Argentina, United States","1"
"Dramas, Independent Movies, International Movies","United States, India","1"
"Dramas, Independent Movies, International Movies","Egypt, France","1"
"Dramas, Independent Movies, International Movies","Turkey","1"
"Dramas, Independent Movies, International Movies","Denmark, United Kingdom, South Africa, Sweden, Belgium","1"
"Dramas, Independent Movies, International Movies","Brazil","1"
"Dramas, Independent Movies, International Movies","Canada, India","1"
"Dramas, Independent Movies, International Movies","Chile, United States, France","1"
"Dramas, Independent Movies, International Movies","Belgium, France","1"
"Dramas, Independent Movies, International Movies","Denmark, Germany, Belgium, United Kingdom, France, Sweden","1"
"Dramas, Independent Movies, International Movies","Pakistan, Norway, United States","1"
"Dramas, Independent Movies, International Movies","Brazil, Netherlands, United States, Colombia, Austria, Germany","1"
"Dramas, Independent Movies, International Movies","France, Lebanon, United Kingdom","1"
"Dramas, Independent Movies, International Movies","India, Germany","1"
"Dramas, Independent Movies, International Movies","South Africa","1"
"Dramas, Independent Movies, International Movies","France, Belgium, Spain","1"
"Dramas, Independent Movies, International Movies","Chile, Argentina","1"
"Dramas, Independent Movies, International Movies","Brazil, France, Germany","1"
"Dramas, Independent Movies, International Movies","Austria","1"
"Dramas, Independent Movies, International Movies","Uruguay, Spain, Mexico","1"
"Dramas, Independent Movies, International Movies","Pakistan, United States","1"
"Dramas, Independent Movies, International Movies","France, Belgium","1"
"Dramas, Independent Movies, International Movies","Israel, Germany","1"
"Dramas, Independent Movies, International Movies","Mexico, Netherlands","1"
"Dramas, Independent Movies, International Movies","Poland","1"
"Dramas, Independent Movies, International Movies","India, Switzerland","1"
"Dramas, Independent Movies, International Movies","Pakistan","1"
"Dramas, Independent Movies, International Movies","Denmark, Brazil, France, Portugal, Sweden","1"
"Dramas, Independent Movies, International Movies","Italy, Turkey","1"
"Dramas, Independent Movies, International Movies","France, Morocco","1"
"Dramas, Independent Movies, International Movies","France, Qatar","1"
"Dramas, Independent Movies, International Movies","Australia, United Arab Emirates","1"
"Dramas, Independent Movies, International Movies","South Africa, Germany, Netherlands, France","1"
"Dramas, Independent Movies, International Movies","India, Iran","1"
"Dramas, Independent Movies, International Movies","Singapore, France","1"
"Dramas, Independent Movies, International Movies","Pakistan, United Arab Emirates","1"
"Dramas, Independent Movies, International Movies","United States, India, Bangladesh","1"
"Dramas, Independent Movies, International Movies","United States, Canada, Ireland","1"
"Dramas, Independent Movies, International Movies","Denmark, Germany, Belgium, United Kingdom, France","1"
"Dramas, Independent Movies, International Movies","Italy, Switzerland, France, Germany","1"
"Dramas, Independent Movies, International Movies","Denmark","1"
"Dramas, Independent Movies, International Movies","United Kingdom, France","1"
"Dramas, Independent Movies, International Movies","Germany, France, Luxembourg, United Kingdom, United States","1"
"Dramas, Independent Movies, International Movies","India, United States","1"
"Dramas, Independent Movies, International Movies","Egypt, Austria, United States","1"
"Dramas, Independent Movies, International Movies","Chile, France","1"
"Dramas, Independent Movies, International Movies","Israel, Germany, France","1"
"Dramas, Independent Movies, International Movies","Canada","1"
